短尾鹱,Short-tailed Shearwater,Ardenna tenuirostris,中型（40-45厘米）暗褐色鹱;;喙深色且细长（短于灰鹱，约2.9-3.2厘米）;;尾较短而圆，脚和腿外侧呈黑色，内侧为粉红色;;⚑翼下覆羽较灰，比曳尾鹱、淡足鹱或灰鹱色浅;;⚑与灰鹱的区别在喙较短，翼下覆羽银色少，且额弓较陡;;⚑飞行时脚伸出尾端，飞行敏捷而有节律，急促的振翼飞行间带着双翼平伸的滑翔;;在海上通常无声，在巢区的叫声为嘈杂喧闹的“e - e - ge - ge - ga - ga”;
小鹱,Little Shearwater,Puffinus assimilis,脸部较为浅色的小型（25-30厘米）鹱鸟;;脸部黑白分界线穿过或位于眼上方;;⚑似棕嘴鹱，但后者体型更大，翼下方呈棕色模糊状，脸部颜色较深，且倾向于在离岸更近的地方成群聚集;;主要为留鸟，性格相对害羞，觅食时比其他类似海鸟离岸更远；冬季繁殖鸟类主要分布在克马德克群岛、西南澳大利亚沿岸以及新西兰北岛东北海岸;
汤氏鹱,Townsend's Shearwater,Puffinus auricularis,墨西哥特有的小型（32-35厘米）鹱;;上黑色下白色，尾下覆羽黑色，尾相当长;;⚑腰两侧具有标志性的鞍状白斑;;⚑飞行快速而有力，在强风中飞得相当高;;⚑极似夏威夷鹱，但分布不重叠;;⚑似黑腹鹱，但后者上体呈深黑色，缺少前者对比强烈的黑色头顶;
热带鹱,Tropical Shearwater,Puffinus bailloni,热带印度洋和太平洋的小型（27-33厘米）鹱;;上体黑褐色，下体白色;;⚑似奥氏鹱，但后者的脸部白色更宽;;⚑略似较大的大西洋鹱和较小的小鹱，但前者尾下覆羽多为深色（塞舌尔和科摩罗的亚种（左图）为白色），而后两者为白色;;在海上无声;
斑氏鹱,Bannerman's Shearwater,Puffinus bannermani,黑白相间的小型（27-33厘米）鹱鸟;;具相对宽阔的翅和长而圆的尾;;翼下方非常白，和翼前缘的较深色模糊斑纹形成对比;;在颈部常可见到两个深色斑纹，从头部延伸下来;;⚑略似布氏鹱，但体型更大，白色部分不会延伸到眼上，呈现出更暗的脸部外观；此外也缺少布氏鹱那种快速振翅的飞行特点;
北大西洋鹱,Barolo Shearwater,Puffinus baroli,具有明显白眼圈的小型（26-28厘米）鹱;;⚑翅尖下的黑色区域通常小于大西洋鹱，且脸更白;;⚑翼上的银灰色块在远处亦可辨识;;⚑注意眼周的白色;
佛得角小鹱,Boyd's Shearwater,Puffinus boydi,小型（28-30厘米）黑白色鹱;;喙为深色;;⚑似奥氏鹱和北大西洋鹱，但头部颜色深，且眼不像北大西洋鹱那样在浅色面部十分醒目，还要注意其长尾、深色的尾下覆羽，以及白色且带有不同程度深色斑纹的翼下覆羽，尾下通常为黑色，翅尖全黑;;仅在佛得角群岛繁殖;,佛得角近特有
布氏鹱,Bryan's Shearwater,Puffinus bryani,小型（25厘米）黑白色鹱;;⚑脚偏蓝;;⚑似小鹱，但尾下和翼下黑色部分更多;;⚑似奥氏鹱，但体型更小，脸更白;,日本近特有
亚南极鹱,Subantarctic Shearwater,Puffinus elegans,小型（25-30厘米）鹱;;上体黑色，下体白色，脸上的黑色从眼睛下方穿过;;⚑似棕嘴鹱和澳洲鹱，但后两者体型较大且翼下具黑褐色“污渍”;;⚑极似小鹱，但注意脸上黑色的区域不同;;在海上无声;
棕嘴鹱,Fluttering Shearwater,Puffinus gavia,中型（31-37厘米）深棕色鹱;;腹部为白色，翅下有一块暗色斑块，飞行时可以看到内翼上的黑色斑纹。 ;;头顶棕色在眼上展开，从颈后向下延伸到喉部和胸部处;;⚑飞行时采用独特的低速和快速的“颤动”飞行，伴随着快速的翼拍;;⚑似澳洲鹱，但体型稍大，下颏上有少许白色，腋下有更广泛的灰色污渍;;⚑似小鹱，但后者体型较小，白色延伸穿过或高于眼睛;
所罗门鹱,Heinroth's Shearwater,Puffinus heinrothi,小型（28-30厘米）比例独特的鹱鸟;;具相对较长的颈部、长尾和翅膀圆润的外观;;全身羽深色，与其异常短小的翼下侧多变的白色条纹形成鲜明对比;;⚑细长的喙通常很明显，常常习惯于飞行时将头抬高于身体;;⚑浅色型个体下体颜色较浅，整体呈较浅的棕色，但保留了独特的比例;;⚑最似黑鹱，但后者的喙和尾相对较短;;⚑似深色型楔尾鹱，但后者体型更大，尾更长;;⚑体型似黑浮鸥，但后者飞行时更有浮力，呈现出类似燕鸥的跳跃飞行;;⚑似短尾鹱和灰鹱，但后两者的脚趾超出尾端;
澳洲鹱,Hutton's Shearwater,Puffinus huttoni,中型（36-38厘米）棕白色剪水鹱;;上体颜色较深，一直延伸到头部;;深棕色斑驳的领子从颈部向下延伸，逐渐进入白色的胸腹;;⚑翼下具有灰白色斑，与翅膀的黑暗边界融合在一起，有明显暗淡的“腋窝”;;⚑似棕嘴鹱，但本种头、颈、翼下通常看上去更黑；翼下和尾下通常不够白；较脏的前额通常与白色的喉形成对比;;仅在新西兰繁殖，筑巢仅限于凯库拉山脉高山地区陡峭的草丛斜坡;
奥氏鹱,Sargasso Shearwater,Puffinus lherminieri,中小型（27-36厘米）黑白色鹱;;具有较长的尾和略圆的翅膀;;⚑尾下覆羽通常为黑色，但在野外很难看到;;⚑近距离观察时，注意眼先的白色;;⚑似大西洋鹱，但翅更长，更尖，尾下覆羽较浅，脸较黑;;⚑通常以颤动的翼拍低飞到水面，但在强风中可以以高旋转弧度飞行;
拉帕鹱,Rapa Shearwater,Puffinus myrtae,中型（33-35厘米）黑白色鹱;;具相对较长的圆形尾和大部分白色的面部;;⚑似斑氏鹱和夏威夷鹱，但体型较小，脸部的白色部分延伸至眼睛以上;;⚑极似与布氏鹱，但有比例更长的尾，且尾下为白色而非黑色;,马罗蒂里群岛近特有
黑鹱,Christmas Shearwater,Puffinus nativitatis,深褐色的中型（35-38厘米）鹱;;羽色呈均匀深褐色，没有对比鲜明的标记;;⚑比大多数鹱飞行更稳定，通常在水面上低飞;;通常只在繁殖地听到声音，是低沉的呻吟;
夏威夷鹱,Newell's Shearwater,Puffinus newelli,中型（35-38厘米）鹱;;上黑下白，尾长，喙细长;;⚑腹部的白色一直延伸到腰的两侧，在翅后形成一个独特的鞍状白斑;;⚑极似汤氏鹱，但分布不重叠，且脸侧的白色延申到眼后形成“钩”状，尾下黑色较少;;叫声通常只能在繁殖地听到，类似于小驴叫;,夏威夷群岛近特有
黑臀鹱,Black-vented Shearwater,Puffinus opisthomelas,外观凌乱的棕白色中型（33-36厘米）鹱;;⚑尤其要注意脸部和颈部的脏污;;⚑最似大西洋鹱，但分布范围通常不重叠，且头看起来更脏，尾下覆羽更黑;;⚑似粉脚鹱，但体型更小，上体更黑，嘴黑色;;⚑飞行通常低而直，扇翅迅速;,北美特有
波斯鹱,Persian Shearwater,Puffinus persicus,相对较小（27-33厘米）的鹱;;下体呈均匀的白色;;整个上半身呈浅棕色，部分棕色延伸至两胁;;⚑翅几乎完全棕色，除了中间的白色羽轴;;⚑飞行快速，平稳地在水面上低飞滑行;;偶尔会浅潜;
大西洋鹱,Manx Shearwater,Puffinus puffinus,体型纤细（30-38厘米）的黑白色海鸟;;⚑比大多数海鸥小得多，从远处看，身体宛如“十”字形;;⚑腰上两侧具缩进的白色块;;⚑耳后通常具有一道白斑（见右下图）;;⚑在加勒比海和西大西洋与奥氏鹱最为相似，但尾较短，脸更黑，尾下白;;更喜寒冷水域，从陆地上少见；在地面洞中繁殖，夜间返回巢中;;在海上通常无声，在巢区会发出一系列“cack cack cack carrr oh”声;
加岛鹱,Galapagos Shearwater,Puffinus subalaris,小型（28-31厘米）黑白色鹱鸟;;⚑飞行迅速且低矮，伴随着急促的振翅，仅有短暂的滑翔;;⚑比黑臀鹱和汤氏鹱更小，翅也更短；黑臀鹱的头部两侧为较为凌乱的棕色，而本种头部有明显的深色头顶；汤氏鹱上体更黑，腰部两侧有白色的“马鞍袋”形斑块;;常成群出现，有时成千上万只在水面上休息，或与褐鲣鸟、黑浮鸥和其他鹱鸟一起组成觅食群;
地中海鹱,Mediterranean Shearwater,Puffinus yelkouan,中小型（30-40厘米）深色剪水鹱;;⚑上体通常看上去更暗，似大西洋鹱而要黑于巴利阿里鹱;;⚑脚趾通常明显伸出尾端，可据此与大西洋鹱区分;;⚑尾下覆羽呈楔形白色，而不似大西洋鹱尾下干净;
秘鲁鹈燕,Peruvian Diving Petrel,Pelecanoides garnotii,小型（20-24厘米）潜水海鸟;;上体呈黑褐色，下体白色;;⚑有时可以看到背上狭窄的白色“带状纹”（下图）;;⚑在水中游弋时身体贴近水面，当有物体靠近时通常会潜水，或者沿着水面奔跑以飞离船只;;⚑在海面上飞行时低且速度快，伴随快速的“呼呼”振翅声，不进行滑翔;;是洪堡洋流区域唯一的鹈燕;
南乔治亚鹈燕,South Georgia Diving Petrel,Pelecanoides georgicus,小型（18-21厘米）海鸟;;翅短而宽阔，喉部和下体呈淡白色;;⚑注意其白色的腰和眼后的灰色羽;;⚑由于羽色差异细微，在海上难以与鹈燕区分;;⚑繁殖于环南极地区的亚南极岛屿；大多数种群在岩石坡地或平坦的地面上筑巢，但新西兰科德菲什岛（Codfish Island）的种群则在距离海洋不超过100米的不稳定沙丘中挖洞筑巢（右下图）;
麦哲伦鹈燕,Magellanic Diving Petrel,Pelecanoides magellani,小型（19-22厘米）潜水海鸟;;上体呈黑褐色，下体白色;;⚑颈部两侧为白色，与黑色顶冠形成对比，与其他鹈燕不同;;⚑在水中游弋时身体贴近水面，当有物体靠近时通常会潜水，或者沿着水面奔跑以飞离船只;;⚑在海面上飞行时低且速度快，伴随快速的“呼呼”振翅声，不进行滑翔;;见于峡湾、海峡以及麦哲伦海峡的局部地区，在那里可以从岸边或渡船上看到；在开阔海洋中较为罕见;
鹈燕,Common Diving Petrel,Pelecanoides urinatrix,小型（20-25厘米）潜水海鸟;;上体呈黑褐色，下体白色，头部无明显斑纹;;⚑在水中游弋时身体贴近水面，当有物体靠近时通常会潜水，或者沿着水面奔跑以飞离船只;;⚑在海面上飞行时低且速度快，伴随快速的“呼呼”振翅声，不进行滑翔;;广泛分布于南大洋的寒冷水域；在大陆沿岸很少见到；通常单独或小群出现，在食物丰富的区域以及筑巢岛屿周围，也能见到成百甚至上千只的群体;
蓝鹱,Blue Petrel,Halobaena caerulea,体型较小（26-32厘米）花纹漂亮的鹱;;⚑似鸽锯鹱，但具深色的头顶和半领，以及醒目的白色尾端；此外在强风中，其通常飞行得更快一些，飞行高度更高;;有时会与船只一起飞行，尤其是在繁殖地附近;
细嘴锯鹱,Slender-billed Prion,Pachyptila belcheri,小型（25-28厘米）鹱鸟;;⚑脸色非常淡，具突出的白色宽眉纹;;⚑背上的“M”在所有锯鹱中最不明显;;⚑尾上尖端的黑色带在所有锯鹱中最为窄小;;⚑拥有锯鹱中最细的嘴;;在南印度洋的岛屿、福克兰群岛和南美洲的亚南极地区繁殖，在非繁殖季节分布于南大洋;
厚嘴锯鹱,Fulmar Prion,Pachyptila crassirostris,小型（24-28厘米）鹱鸟;;背部有黑色的“M”形状，在飞行中可见;;面部无明显标记，尾上的黑色尖端较宽;;⚑极似仙锯鹱，通常只有在手中时才能区分；前者喙更重，钩状结构更大，尾下的“T”字型尖端稍暗;;在查塔姆群岛、新西兰亚南极群岛和赫德岛繁殖，相对不迁移，通常一年四季只在繁殖群落周围看到;
鸽锯鹱,Antarctic Prion,Pachyptila desolata,小型（25-28厘米）鹱鸟;;背部有明显的黑色“M”，在飞行中很明显;;⚑极似小锯鹱，但通常喙更偏亮蓝色，且嘴型略有不同;;在海上无声;
麦氏锯鹱,MacGillivray's Prion,Pachyptila macgillivrayi,淡粉蓝色和白色的小型（25-28厘米）海鸟;;上翼有淡灰色的暗“M”形状;;⚑注意其深蓝色的“拇指印”颈圈，蓝色的眼线，白色的眉纹，白色的喉咙和灰色的头顶;;⚑几乎与鸽锯鹱相同，但体型更壮实，胸部更重，喙稍宽;;⚑与小锯鹱几乎无法区别，但喙稍宽，在海上可能无法识别;;在海上无声;
小锯鹱,Salvin's Prion,Pachyptila salvini,小型（25-28厘米）鹱鸟;;背上带有淡淡的灰黑色“M”;;⚑注意其深蓝色的“拇指印”颈圈，蓝色的眼线，白色的眉纹，白色的喉咙和灰色的头顶;;⚑几乎与鸽锯鹱相同，但喙稍宽，在大多数情况下无法在海上识别;;在海上无声;
仙锯鹱,Fairy Prion,Pachyptila turtur,最小（23-28厘米）的锯鹱;;⚑尾上尖端具有较宽的黑色带;;⚑可通过其较小的体型、不明显的面部标记，以及尾上宽大、暗色的尖端来仔细区分;;⚑最似厚嘴锯鹱，注意较短的喙及更大的喙尖;;在海上无声;
阔嘴锯鹱,Broad-billed Prion,Pachyptila vittata,最大（25-30厘米）的锯鹱;;⚑其异常宽阔的喙使得头部显得厚实;;⚑似小锯鹱，但后者体型更小，喙更窄;;在海上形成分散的群体，要么停歇在水面上捕捉猎物，要么掠过水面捕食浮游动物;
短嘴圆尾鹱,Kerguelen Petrel,Aphrodroma brevirostris,暗灰色的南半球寒冷水域的鹱鸟（33-36厘米）;;整体上小而壮实，但头部大且看起来“蓬松”;;⚑注意下翼的图案，浅色的肩部与浅色的初级飞羽之间被一条宽阔、模糊的暗条分开;;⚑飞行速度快且强劲，经常在波浪上方弧形飞升到令人印象深刻的高度;;⚑从远处很难与其他暗色的中型鹱鸟区分，但注意翼下的浅色斑块，整体灰色的身体，相对大的“可爱”头部，以及独特的飞行方式;;通常在夜间觅食;
白腹圆尾鹱,Phoenix Petrel,Pterodroma alba,长翅的鹱鸟（35厘米）;;主要为深色，腹部为亮白色;;喉部通常有淡色斑点，有时会显示出特别浅色的喉部;;⚑关键识别特征是在深色翼下的前缘有一条显著的淡色条纹;;⚑似钩嘴圆尾鹱，但喙明显更小，有时还会显示出浅色喉部；飞行时翅通常在肘部弯曲，不同于后者的直翼;;海上通常无声;
特岛圆尾鹱,Trindade Petrel,Pterodroma arminjoniana,中型（35-40厘米）鳠;;具长而尖的翅、长尾和有弹性、有力的飞行姿态;;喙短而粗；上体全部深色;;⚑有两种色型：浅色型（左图）头和胸为暗色，与白色的腹部形成对比，呈现出头罩的外观，尾下覆羽为暗色；深色型（左上图）腹部全部为暗色;;⚑两种色型的下翼都有一个贯穿整个翅膀的淡色斑块;
亨氏圆尾鹱,Henderson Petrel,Pterodroma atrata,典型的均匀灰褐色的鹱（36-37厘米）;;喙基部有浅色斑驳，脸部看起来有些“磨砂”的外观;;⚑飞行时，可见翅下前缘从身体到肘部的浅色条带;;⚑似克岛圆尾鹱，但缺少后者上翼的白色主羽轴且整体颜色更加均匀;;⚑似棕头圆尾鹱，但后者胸部显得更加厚实，面部较淡，身上有更大面积的灰褐色斑驳色调;;⚑极似信使圆尾鹱，但翅下的深浅对比更加鲜明;;高度海洋性，只在繁殖时才会上岸;;在海上无声;
查岛圆尾鹱,Chatham Islands Petrel,Pterodroma axillaris,中型（30厘米）圆尾鹱;;上体深灰色，下体白色，翼下有一条从翼前缘延伸至翼后缘的斜黑线;;具黑色喙、深色的眼斑，及粉红色的腿和脚;;⚑似黑翅圆尾鹱，但翼下黑线较少;;⚑似鳞斑圆尾鹱，但后者体型更大，腹部为深色，翼下的黑色斜线不会抵达胁部;;仅在查塔姆群岛繁殖，但可在距离陆地3000公里的海域觅食;,查塔姆群岛特有
留尼汪圆尾鹱,Barau's Petrel,Pterodroma baraui,中型（38厘米）浅色鹱;;具白色的腹部、深色的头顶、白色的前额，白色的翼下具黑色的边缘;;⚑飞行时，还可以注意到灰色上体上独特的深色“M”形标记;;在平静天气里，飞行轻松自如，通常会爬升高度后滑翔向海面；在强风天气中则可见其高而陡峭的盘旋;
