Struthio molybdophanes	Somali Ostrich
Heteromunia pectoralis	Pictorella Mannikin
Oreostruthus fuliginosus	Mountain Firetail
Stagonopleura guttata	Diamond Firetail
Stagonopleura oculata	Red-eared Firetail
Stagonopleura bella	Beautiful Firetail
Neochmia phaeton	Crimson Finch
Neochmia temporalis	Red-browed Finch
Emblema pictum	Painted Finch
Emblema ruficauda	Star Finch
Emblema modestum	Plum-headed Finch
Stizoptera bichenovii	Double-barred Finch
Taeniopygia guttata	Zebra Finch
Poephila personata	Masked Finch
Poephila acuticauda	Long-tailed Finch
Poephila cincta	Black-throated Finch
Spermestes griseicapilla	Grey-headed Silverbill
Spermestes cucullata	Bronze Mannikin
Spermestes fringilloides	Magpie Mannikin
Spermestes bicolor	Black-and-white Mannikin
Lepidopygia nana	Madagascar Mannikin
Euodice malabarica	Indian Silverbill
Euodice cantans	African Silverbill
Padda oryzivora	Java Sparrow
Padda fuscata	Timor Sparrow
Mayrimunia leucosticta	White-spotted Mannikin
Mayrimunia tristissima	Streak-headed Mannikin
Lonchura punctulata	Scaly-breasted Munia
Lonchura kelaarti	Black-throated Munia
Lonchura molucca	Black-faced Munia
Lonchura striata	White-rumped Munia
Lonchura fuscans	Dusky Munia
Lonchura leucogastra	White-bellied Munia
Lonchura leucogastroides	Javan Munia
Lonchura malacca	Tricolored Munia
Lonchura atricapilla	Chestnut Munia
Lonchura ferruginosa	White-capped Munia
Lonchura maja	White-headed Munia
Lonchura pallida	Pale-headed Munia
Lonchura grandis	Great-billed Mannikin
Lonchura teerinki	Black-breasted Mannikin
Lonchura montana	Western Alpine Mannikin
Lonchura monticola	Eastern Alpine Mannikin
Lonchura vana	Grey-banded Mannikin
Lonchura nevermanni	Grey-crowned Mannikin
Lonchura caniceps	Grey-headed Mannikin
Lonchura spectabilis	Hooded Mannikin
Lonchura forbesi	Forbes's Mannikin
Lonchura hunsteini	Mottled Mannikin
Lonchura nigerrima	New Hanover Mannikin
Lonchura flaviprymna	Yellow-rumped Mannikin
Lonchura quinticolor	Five-colored Munia
Lonchura castaneothorax	Chestnut-breasted Mannikin
Lonchura stygia	Black Mannikin
Lonchura melaena	Buff-bellied Mannikin
Chloebia gouldiae	Gouldian Finch
Erythrura prasina	Pin-tailed Parrotfinch
Erythrura viridifacies	Green-faced Parrotfinch
Erythrura hyperythra	Tawny-breasted Parrotfinch
Erythrura psittacea	Red-throated Parrotfinch
Erythrura pealii	Fiji Parrotfinch
Erythrura cyaneovirens	Royal Parrotfinch
Erythrura kleinschmidti	Pink-billed Parrotfinch
Erythrura tricolor	Tricolored Parrotfinch
Erythrura coloria	Red-eared Parrotfinch
Erythrura papuana	Papuan Parrotfinch
Erythrura trichroa	Blue-faced Parrotfinch
Nesocharis ansorgei	White-collared Oliveback
Nesocharis shelleyi	Shelley's Oliveback
Coccopygia quartinia	Yellow-bellied Waxbill
Coccopygia bocagei	Angola Waxbill
Coccopygia melanotis	Swee Waxbill
Mandingoa nitidula	Green Twinspot
Cryptospiza shelleyi	Shelley's Crimsonwing
Cryptospiza jacksoni	Dusky Crimsonwing
Cryptospiza salvadorii	Abyssinian Crimsonwing
Cryptospiza reichenovii	Red-faced Crimsonwing
Parmoptila rubrifrons	Red-fronted Antpecker
Parmoptila woodhousei	Woodhouse's Antpecker
Parmoptila jamesoni	Jameson's Antpecker
Nigrita fusconotus	White-breasted Nigrita
Nigrita bicolor	Chestnut-breasted Nigrita
Nigrita canicapillus	Grey-headed Nigrita
Nigrita luteifrons	Pale-fronted Nigrita
Delacourella capistrata	Grey-headed Oliveback
Brunhilda erythronotos	Black-faced Waxbill
Brunhilda charmosyna	Black-cheeked Waxbill
Glaucestrilda caerulescens	Lavender Waxbill
Glaucestrilda perreini	Grey Waxbill
Glaucestrilda thomensis	Cinderella Waxbill
Estrilda nonnula	Black-crowned Waxbill
Estrilda kandti	Kandt's Waxbill
Estrilda atricapilla	Black-headed Waxbill
Estrilda melpoda	Orange-cheeked Waxbill
Estrilda poliopareia	Anambra Waxbill
Estrilda paludicola	Fawn-breasted Waxbill
Estrilda nigriloris	Black-lored Waxbill
Estrilda astrild	Common Waxbill
Estrilda troglodytes	Black-rumped Waxbill
Estrilda rufibarba	Arabian Waxbill
Estrilda rhodopyga	Crimson-rumped Waxbill
Paludipasser locustella	Locust Finch
Ortygospiza atricollis	Quailfinch
Amadina erythrocephala	Red-headed Finch
Amadina fasciata	Cut-throat Finch
Amandava formosa	Green Avadavat
Amandava subflava	Orange-breasted Waxbill
Amandava amandava	Red Avadavat
Granatina granatina	Violet-eared Waxbill
Granatina ianthinogaster	Purple Grenadier
Uraeginthus angolensis	Blue Waxbill
Uraeginthus bengalus	Red-cheeked Cordon-bleu
Uraeginthus cyanocephalus	Blue-capped Cordon-bleu
Pyrenestes minor	Lesser Seedcracker
Pyrenestes sanguineus	Crimson Seedcracker
Pyrenestes ostrinus	Black-bellied Seedcracker
Spermophaga poliogenys	Grant's Bluebill
Spermophaga haematina	Western Bluebill
Spermophaga ruficapilla	Red-headed Bluebill
Pytilia melba	Green-winged Pytilia
Pytilia afra	Orange-winged Pytilia
Pytilia phoenicoptera	Red-winged Pytilia
Pytilia lineata	Red-billed Pytilia
Pytilia hypogrammica	Yellow-winged Pytilia
Hypargos margaritatus	Pink-throated Twinspot
Hypargos niveoguttatus	Red-throated Twinspot
Euschistospiza dybowskii	Dybowski's Twinspot
Euschistospiza cinereovinacea	Dusky Twinspot
Clytospiza monteiri	Brown Twinspot
Lagonosticta senegala	Red-billed Firefinch
Lagonosticta nitidula	Brown Firefinch
Lagonosticta rufopicta	Bar-breasted Firefinch
Lagonosticta rara	Black-bellied Firefinch
Lagonosticta larvata	Black-faced Firefinch
Lagonosticta rubricata	African Firefinch
Lagonosticta virata	Mali Firefinch
Lagonosticta rhodopareia	Jameson's Firefinch
Lagonosticta umbrinodorsalis	Chad Firefinch
Lagonosticta sanguinodorsalis	Rock Firefinch
Prunella himalayana	Altai Accentor
Prunella collaris	Alpine Accentor
Prunella immaculata	Maroon-backed Accentor
Prunella rubeculoides	Robin Accentor
Prunella atrogularis	Black-throated Accentor
Prunella ocularis	Radde's Accentor
Prunella modularis	Dunnock
Prunella rubida	Japanese Accentor
Prunella montanella	Siberian Accentor
Prunella strophiata	Rufous-breasted Accentor
Prunella koslowi	Kozlov's Accentor
Prunella fulvescens	Brown Accentor
Hypocryptadius cinnamomeus	Cinnamon Ibon
Petronia petronia	Rock Sparrow
Montifringilla nivalis	White-winged Snowfinch
Montifringilla henrici	Tibetan Snowfinch
Montifringilla adamsi	Black-winged Snowfinch
Onychostruthus taczanowskii	White-rumped Snowfinch
Pyrgilauda davidiana	Pere David's Snowfinch
Pyrgilauda ruficollis	Rufous-necked Snowfinch
Pyrgilauda blanfordi	Blanford's Snowfinch
Pyrgilauda theresae	Afghan Snowfinch
Carpospiza brachydactyla	Pale Rockfinch
Gymnoris pyrgita	Yellow-spotted Bush Sparrow
Gymnoris xanthocollis	Yellow-throated Sparrow
Gymnoris superciliaris	Yellow-throated Bush Sparrow
Gymnoris dentata	Sahel Bush Sparrow
Passer griseus	Northern Grey-headed Sparrow
Passer swainsonii	Swainson's Sparrow
Passer gongonensis	Parrot-billed Sparrow
Passer suahelicus	Swahili Sparrow
Passer diffusus	Southern Grey-headed Sparrow
Passer melanurus	Cape Sparrow
Passer eminibey	Chestnut Sparrow
Passer motitensis	Great Sparrow
Passer rufocinctus	Kenya Sparrow
Passer shelleyi	Shelley's Sparrow
Passer cordofanicus	Kordofan Sparrow
Passer cinnamomeus	Russet Sparrow
Passer montanus	Eurasian Tree Sparrow
Passer ammodendri	Saxaul Sparrow
Passer iagoensis	Iago Sparrow
Passer zarudnyi	Zarudny's Sparrow
Passer simplex	Desert Sparrow
Passer moabiticus	Dead Sea Sparrow
Passer luteus	Sudan Golden Sparrow
Passer euchlorus	Arabian Golden Sparrow
Passer flaveolus	Plain-backed Sparrow
Passer insularis	Socotra Sparrow
Passer hemileucus	Abd al-Kuri Sparrow
Passer hispaniolensis	Spanish Sparrow
Passer pyrrhonotus	Sind Sparrow
Passer castanopterus	Somali Sparrow
Passer italiae	Italian Sparrow
Passer domesticus	House Sparrow
Dendronanthus indicus	Forest Wagtail
Motacilla flaviventris	Madagascar Wagtail
Motacilla bocagii	Sao Tome Shorttail
Motacilla capensis	Cape Wagtail
Motacilla clara	Mountain Wagtail
Motacilla cinerea	Grey Wagtail
Motacilla flava	Western Yellow Wagtail
Motacilla citreola	Citrine Wagtail
Motacilla tschutschensis	Eastern Yellow Wagtail
Motacilla aguimp	African Pied Wagtail
Motacilla maderaspatensis	White-browed Wagtail
Motacilla alba	White Wagtail
Motacilla grandis	Japanese Wagtail
Motacilla samveasnae	Mekong Wagtail
Tmetothylacus tenellus	Golden Pipit
Hemimacronyx chloris	Yellow-breasted Pipit
Macronyx sharpei	Sharpe's Longclaw
Macronyx capensis	Cape Longclaw
Macronyx croceus	Yellow-throated Longclaw
Macronyx fuelleborni	Fülleborn's Longclaw
Macronyx flavicollis	Abyssinian Longclaw
Macronyx aurantiigula	Pangani Longclaw
Macronyx ameliae	Rosy-throated Longclaw
Macronyx grimwoodi	Grimwood's Longclaw
Anthus sylvanus	Upland Pipit
Anthus godlewskii	Blyth's Pipit
Anthus hoeschi	Mountain Pipit
Anthus campestris	Tawny Pipit
Anthus berthelotii	Berthelot's Pipit
Anthus similis	Long-billed Pipit
Anthus vaalensis	Buffy Pipit
Anthus nyassae	Wood Pipit
Anthus nicholsoni	Nicholson's Pipit
Anthus novaeseelandiae	New Zealand Pipit
Anthus australis	Australian Pipit
Anthus pallidiventris	Long-legged Pipit
Anthus melindae	Malindi Pipit
Anthus leucophrys	Plain-backed Pipit
Anthus cinnamomeus	African Pipit
Anthus richardi	Richard's Pipit
Anthus rufulus	Paddyfield Pipit
Anthus lineiventris	Striped Pipit
Anthus crenatus	African Rock Pipit
Anthus sokokensis	Sokoke Pipit
Anthus brachyurus	Short-tailed Pipit
Anthus caffer	Bushveld Pipit
Anthus spragueii	Sprague's Pipit
Anthus chii	Yellowish Pipit
Anthus furcatus	Short-billed Pipit
Anthus brevirostris	Puna Pipit
Anthus peruvianus	Peruvian Pipit
Anthus chacoensis	Pampas Pipit
Anthus hellmayri	Hellmayr's Pipit
Anthus bogotensis	Paramo Pipit
Anthus nattereri	Ochre-breasted Pipit
Anthus antarcticus	South Georgia Pipit
Anthus correndera	Correndera Pipit
Anthus gustavi	Pechora Pipit
Anthus ruficollis	Madanga
Anthus gutturalis	Alpine Pipit
Anthus nilghiriensis	Nilgiri Pipit
Anthus trivialis	Tree Pipit
Anthus hodgsoni	Olive-backed Pipit
Anthus cervinus	Red-throated Pipit
Anthus roseatus	Rosy Pipit
Anthus japonicus	Siberian Pipit
Anthus rubescens	American Pipit
Anthus pratensis	Meadow Pipit
Anthus petrosus	European Rock Pipit
Anthus spinoletta	Water Pipit
Fringilla montifringilla	Brambling
Fringilla teydea	Tenerife Blue Chaffinch
Fringilla polatzeki	Gran Canaria Blue Chaffinch
Fringilla spodiogenys	African Chaffinch
Fringilla coelebs	Eurasian Chaffinch
Fringilla moreletti	Azores Chaffinch
Fringilla maderensis	Madeira Chaffinch
Fringilla canariensis	Canary Islands Chaffinch
Chlorophonia elegantissima	Elegant Euphonia
Chlorophonia musica	Hispaniolan Euphonia
Chlorophonia sclateri	Puerto Rican Euphonia
Chlorophonia flavifrons	Lesser Antillean Euphonia
Chlorophonia cyanocephala	Golden-rumped Euphonia
Chlorophonia cyanea	Blue-naped Chlorophonia
Chlorophonia pyrrhophrys	Chestnut-breasted Chlorophonia
Chlorophonia flavirostris	Yellow-collared Chlorophonia
Chlorophonia occipitalis	Blue-crowned Chlorophonia
Chlorophonia callophrys	Golden-browed Chlorophonia
Euphonia jamaica	Jamaican Euphonia
Euphonia saturata	Orange-crowned Euphonia
Euphonia plumbea	Plumbeous Euphonia
Euphonia chlorotica	Purple-throated Euphonia
Euphonia finschi	Finsch's Euphonia
Euphonia concinna	Velvet-fronted Euphonia
Euphonia trinitatis	Trinidad Euphonia
Euphonia godmani	West Mexican Euphonia
Euphonia affinis	Scrub Euphonia
Euphonia luteicapilla	Yellow-crowned Euphonia
Euphonia chrysopasta	White-lored Euphonia
Euphonia minuta	White-vented Euphonia
Euphonia chalybea	Green-chinned Euphonia
Euphonia violacea	Violaceous Euphonia
Euphonia hirundinacea	Yellow-throated Euphonia
Euphonia laniirostris	Thick-billed Euphonia
Euphonia imitans	Spot-crowned Euphonia
Euphonia gouldi	Olive-backed Euphonia
Euphonia fulvicrissa	Fulvous-vented Euphonia
Euphonia anneae	Tawny-capped Euphonia
Euphonia xanthogaster	Orange-bellied Euphonia
Euphonia mesochrysa	Bronze-green Euphonia
Euphonia cayennensis	Golden-sided Euphonia
Euphonia rufiventris	Rufous-bellied Euphonia
Euphonia pectoralis	Chestnut-bellied Euphonia
Mycerobas icterioides	Black-and-yellow Grosbeak
Mycerobas affinis	Collared Grosbeak
Mycerobas melanozanthos	Spot-winged Grosbeak
Mycerobas carnipes	White-winged Grosbeak
Hesperiphona vespertina	Evening Grosbeak
Hesperiphona abeillei	Hooded Grosbeak
Coccothraustes coccothraustes	Hawfinch
Eophona personata	Japanese Grosbeak
Eophona migratoria	Chinese Grosbeak
Carpodacus sipahi	Scarlet Finch
Carpodacus erythrinus	Common Rosefinch
Carpodacus ferreorostris	Bonin Grosbeak
Carpodacus rhodochlamys	Red-mantled Rosefinch
Carpodacus grandis	Blyth's Rosefinch
Carpodacus waltoni	Pink-rumped Rosefinch
Carpodacus davidianus	Chinese Beautiful Rosefinch
Carpodacus pulcherrimus	Himalayan Beautiful Rosefinch
Carpodacus edwardsii	Dark-rumped Rosefinch
Carpodacus rodochroa	Pink-browed Rosefinch
Carpodacus verreauxii	Sharpe's Rosefinch
Carpodacus rodopeplus	Spot-winged Rosefinch
Carpodacus vinaceus	Vinaceous Rosefinch
Carpodacus formosanus	Taiwan Rosefinch
Carpodacus synoicus	Sinai Rosefinch
Carpodacus stoliczkae	Pale Rosefinch
Carpodacus roborowskii	Tibetan Rosefinch
Carpodacus sillemi	Sillem's Rosefinch
Carpodacus rubicilloides	Streaked Rosefinch
Carpodacus rubicilla	Great Rosefinch
Carpodacus sibiricus	Long-tailed Rosefinch
Carpodacus subhimachalus	Crimson-browed Finch
Carpodacus puniceus	Red-fronted Rosefinch
Carpodacus roseus	Pallas's Rosefinch
Carpodacus trifasciatus	Three-banded Rosefinch
Carpodacus thura	Himalayan White-browed Rosefinch
Carpodacus dubius	Chinese White-browed Rosefinch
Melamprosops phaeosoma	Poo-uli
Oreomystis bairdi	Akikiki
Paroreomyza maculata	Oahu Alauahio
Paroreomyza flammea	Kakawahie
Paroreomyza montana	Maui Alauahio
Loxioides bailleui	Palila
Telespiza cantans	Laysan Finch
Telespiza ultima	Nihoa Finch
Chloridops kona	Kona Grosbeak
Rhodacanthis palmeri	Greater Koa Finch
Rhodacanthis flaviceps	Lesser Koa Finch
Ciridops anna	Ula-ai-hawane
Akialoa obscura	Lesser Akialoa
Akialoa ellisiana	Oahu Akialoa
Akialoa stejnegeri	Kauai Akialoa
Akialoa lanaiensis	Maui-nui Akialoa
Palmeria dolei	Akohekohe
Himatione sanguinea	Apapane
Himatione fraithii	Laysan Honeycreeper
Drepanis coccinea	Iiwi
Drepanis pacifica	Hawaii Mamo
Drepanis funerea	Black Mamo
Psittirostra psittacea	Ou
Dysmorodrepanis munroi	Lanai Hookbill
Pseudonestor xanthophrys	Maui Parrotbill
Hemignathus hanapepe	Kauai Nukupuu
Hemignathus lucidus	Oahu Nukupuu
Hemignathus affinis	Maui Nukupuu
Hemignathus wilsoni	Akiapolaau
Magumma parva	Anianiau
Chlorodrepanis virens	Hawaii Amakihi
Chlorodrepanis flava	Oahu Amakihi
Chlorodrepanis stejnegeri	Kauai Amakihi
Viridonia sagittirostris	Greater Amakihi
Loxops mana	Hawaii Creeper
Loxops caeruleirostris	Akekee
Loxops coccineus	Hawaii Akepa
Loxops wolstenholmei	Oahu Akepa
Loxops ochraceus	Maui Akepa
Pinicola enucleator	Pine Grosbeak
Pyrrhula leucogenis	White-cheeked Bullfinch
Pyrrhula nipalensis	Brown Bullfinch
Pyrrhula murina	Azores Bullfinch
Pyrrhula pyrrhula	Eurasian Bullfinch
Pyrrhula aurantiaca	Orange Bullfinch
Pyrrhula erythrocephala	Red-headed Bullfinch
Pyrrhula erythaca	Grey-headed Bullfinch
Pyrrhula owstoni	Taiwan Bullfinch
Rhodopechys sanguineus	Crimson-winged Finch
Bucanetes mongolicus	Mongolian Finch
Bucanetes githagineus	Trumpeter Finch
Agraphospiza rubescens	Blanford's Rosefinch
Pyrrhoplectes epauletta	Golden-naped Finch
Callacanthis burtoni	Spectacled Finch
Procarduelis nipalensis	Dark-breasted Rosefinch
Leucosticte nemoricola	Plain Mountain Finch
Leucosticte brandti	Brandt's Mountain Finch
Leucosticte arctoa	Asian Rosy Finch
Leucosticte tephrocotis	Grey-crowned Rosy Finch
Leucosticte atrata	Black Rosy Finch
Leucosticte australis	Brown-capped Rosy Finch
Haemorhous mexicanus	House Finch
Haemorhous purpureus	Purple Finch
Haemorhous cassinii	Cassin's Finch
Rhodospiza obsoleta	Desert Finch
Rhynchostruthus percivali	Arabian Golden-winged Grosbeak
Rhynchostruthus socotranus	Socotra Golden-winged Grosbeak
Rhynchostruthus louisae	Somali Golden-winged Grosbeak
Chloris chloris	European Greenfinch
Chloris sinica	Oriental Greenfinch
Chloris spinoides	Yellow-breasted Greenfinch
Chloris monguilloti	Vietnamese Greenfinch
Chloris ambigua	Black-headed Greenfinch
Linurgus olivaceus	Oriole Finch
Crithagra leucopygia	White-rumped Seedeater
Crithagra mozambica	Yellow-fronted Canary
Crithagra citrinelloides	African Citril
Crithagra frontalis	Western Citril
Crithagra hyposticta	Southern Citril
Crithagra capistrata	Black-faced Canary
Crithagra koliensis	Papyrus Canary
Crithagra scotops	Forest Canary
Crithagra rothschildi	Arabian Serin
Crithagra atrogularis	Black-throated Canary
Crithagra reichenowi	Reichenow's Seedeater
Crithagra xanthopygia	Yellow-rumped Seedeater
Crithagra citrinipectus	Lemon-breasted Canary
Crithagra dorsostriata	White-bellied Canary
Crithagra flavigula	Yellow-throated Seedeater
Crithagra xantholaema	Salvadori's Seedeater
Crithagra donaldsoni	Northern Grosbeak-Canary
Crithagra buchanani	Southern Grosbeak-Canary
Crithagra sulphurata	Brimstone Canary
Crithagra flaviventris	Yellow Canary
Crithagra albogularis	White-throated Canary
Crithagra striolata	Streaky Seedeater
Crithagra whytii	Yellow-browed Seedeater
Crithagra burtoni	Thick-billed Seedeater
Crithagra melanochroa	Kipengere Seedeater
Crithagra rufobrunnea	Principe Seedeater
Crithagra concolor	Sao Tome Grosbeak
Crithagra leucoptera	Protea Canary
Crithagra mennelli	Black-eared Seedeater
Crithagra canicapilla	West African Seedeater
Crithagra gularis	Streaky-headed Seedeater
Crithagra striatipectus	Stripe-breasted Seedeater
Crithagra reichardi	Reichard's Seedeater
Crithagra tristriata	Brown-rumped Seedeater
Crithagra menachensis	Yemen Serin
Crithagra ankoberensis	Ankober Serin
Crithagra totta	Cape Siskin
Crithagra symonsi	Drakensberg Siskin
Linaria flavirostris	Twite
Linaria cannabina	Common Linnet
Linaria yemenensis	Yemen Linnet
Linaria johannis	Warsangli Linnet
Acanthis flammea	Redpoll
Loxia megaplaga	Hispaniolan Crossbill
Loxia leucoptera	Two-barred Crossbill
Loxia pytyopsittacus	Parrot Crossbill
Loxia scotica	Scottish Crossbill
Loxia sinesciuris	Cassia Crossbill
Loxia curvirostra	Red Crossbill
Chrysocorythus mindanensis	Mindanao Serin
Chrysocorythus estherae	Indonesian Serin
Carduelis citrinella	Citril Finch
Carduelis corsicana	Corsican Finch
Carduelis caniceps	Grey-crowned Goldfinch
Carduelis carduelis	European Goldfinch
Serinus canaria	Atlantic Canary
Serinus serinus	European Serin
Serinus pusillus	Red-fronted Serin
Serinus syriacus	Syrian Serin
Serinus nigriceps	Ethiopian Siskin
Serinus alario	Black-headed Canary
Serinus canicollis	Cape Canary
Serinus flavivertex	Yellow-crowned Canary
Spinus thibetanus	Tibetan Serin
Spinus spinus	Eurasian Siskin
Spinus pinus	Pine Siskin
Spinus atriceps	Black-capped Siskin
Spinus notatus	Black-headed Siskin
Spinus dominicensis	Antillean Siskin
Spinus psaltria	Lesser Goldfinch
Spinus lawrencei	Lawrence's Goldfinch
Spinus tristis	American Goldfinch
Spinus spinescens	Andean Siskin
Spinus yarrellii	Yellow-faced Siskin
Spinus xanthogastrus	Yellow-bellied Siskin
Spinus cucullatus	Red Siskin
Spinus crassirostris	Thick-billed Siskin
Spinus magellanicus	Hooded Siskin
Spinus siemiradzkii	Saffron Siskin
Spinus olivaceus	Olivaceous Siskin
Spinus atratus	Black Siskin
Spinus uropygialis	Yellow-rumped Siskin
Spinus barbatus	Black-chinned Siskin
Rhodinocichla rosea	Rosy Thrush-tanager
Rhynchophanes mccownii	Thick-billed Longspur
Plectrophenax hyperboreus	McKay's Bunting
Plectrophenax nivalis	Snow Bunting
Calcarius lapponicus	Lapland Longspur
Calcarius ornatus	Chestnut-collared Longspur
Calcarius pictus	Smith's Longspur
Emberiza cabanisi	Cabanis's Bunting
Emberiza flaviventris	Golden-breasted Bunting
Emberiza poliopleura	Somali Bunting
Emberiza affinis	Brown-rumped Bunting
Emberiza capensis	Cape Bunting
Emberiza impetuani	Lark-like Bunting
Emberiza socotrana	Socotra Bunting
Emberiza sahari	House Bunting
Emberiza striolata	Striolated Bunting
Emberiza goslingi	Gosling's Bunting
Emberiza tahapisi	Cinnamon-breasted Bunting
Emberiza siemsseni	Slaty Bunting
Emberiza elegans	Yellow-throated Bunting
Emberiza yessoensis	Ochre-rumped Bunting
Emberiza pallasi	Pallas's Reed Bunting
Emberiza schoeniclus	Common Reed Bunting
Emberiza chrysophrys	Yellow-browed Bunting
Emberiza tristrami	Tristram's Bunting
Emberiza variabilis	Grey Bunting
Emberiza rutila	Chestnut Bunting
Emberiza aureola	Yellow-breasted Bunting
Emberiza pusilla	Little Bunting
Emberiza rustica	Rustic Bunting
Emberiza sulphurata	Yellow Bunting
